"sample","mean.relief","sd.relief","fieldofview.limited","fieldofview.open","broad.bryozoa","broad.crinoids","broad.hydrocoral","broad.hydroids","broad.octocoral.black","broad.sponges","broad.unconsolidated","campaignid"
"15.07",1.3,0.470162345981627,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"15.12",1.86666666666667,0.351865775274498,0,100,0,0,0,0,20,6.67,73.33,"2019-08_Ningaloo_stereo-BRUVs"
"16.01",0.7,0.470162345981627,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"16.02",3.81818181818182,0.501081082343218,0,100,9.09,0,0,18.18,0,54.55,18.18,"2019-08_Ningaloo_stereo-BRUVs"
"16.03",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"16.04",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"16.05",1.84615384615385,0.612686392361227,0,100,0,0,0,0,0,7.69,92.31,"2019-08_Ningaloo_stereo-BRUVs"
"17.08",0.590909090909091,0.590326052690247,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"18.01",0.583333333333333,0.503610155185335,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"18.02",0.555555555555556,0.506369683541833,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"18.03",2,0.748331477354788,0,100,0,0,0,0,26.92,0,73.08,"2019-08_Ningaloo_stereo-BRUVs"
"18.04",2.38461538461538,0.85214661071546,0,100,0,0,0,34.62,0,30.77,34.62,"2019-08_Ningaloo_stereo-BRUVs"
"18.07",1.1304347826087,1.0137396037394,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"18.08",0.5,0.512989176042577,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"19.01",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"19.02",1.4,0.502624689950035,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"19.03",0.909090909090909,0.29424494316825,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"19.04",1.08695652173913,0.51460871969619,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"19.05",0,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"19.08",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"2.02",0.904761904761905,0.300792603759119,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"2.03",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"2.04",0.769230769230769,0.42966892442366,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"2.05",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"2.06",0.961538461538462,0.196116135138184,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"2.07",1.15384615384615,0.784464540552736,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"23.01",1.66666666666667,0.617213399848368,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"23.02",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"23.03",0.666666666666667,0.487950036474267,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"23.04",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"23.06",0.5,0.512989176042577,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"23.09",0.304347826086957,0.470471968896965,0,100,0,4.35,0,0,8.7,0,86.96,"2019-08_Ningaloo_stereo-BRUVs"
"3.01",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"3.02",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"3.03",0.884615384615385,0.431455497304005,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"3.04",0.95,0.510417785534041,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"3.05",1.27272727272727,0.827032456426399,0,100,0,0,0,4.55,0,9.09,86.36,"2019-08_Ningaloo_stereo-BRUVs"
"3.06",0.347826086956522,0.831684798913075,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"30.01",0.333333333333333,0.658280588604383,0,100,0,0,0,0,0,9.52,90.48,"2019-08_Ningaloo_stereo-BRUVs"
"30.02",0,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"30.03",0.0526315789473684,0.229415733870562,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"30.04",1,0.978019293843651,0,100,0,0,0,0,16.67,4.17,79.17,"2019-08_Ningaloo_stereo-BRUVs"
"30.05",1.42857142857143,0.790151013628803,0,100,0,0,0,0,14.29,10.71,75,"2019-08_Ningaloo_stereo-BRUVs"
"30.06",2,1.11269728052837,0,100,0,0,0,0,4.55,31.82,63.64,"2019-08_Ningaloo_stereo-BRUVs"
"31.01",1.54166666666667,0.931532942621143,0,100,0,0,0,0,0,16.67,83.33,"2019-08_Ningaloo_stereo-BRUVs"
"31.02",0.571428571428571,0.50709255283711,0,100,0,0,0,0,0,4.76,95.24,"2019-08_Ningaloo_stereo-BRUVs"
"31.03",1.26086956521739,0.44897775854488,7.5,92.5,0,0,4.35,13.04,8.7,8.7,65.22,"2019-08_Ningaloo_stereo-BRUVs"
"31.04",0.730769230769231,0.533493565673837,0,100,0,0,0,0,25.93,0,74.07,"2019-08_Ningaloo_stereo-BRUVs"
"31.05",0.55,0.51041778553404,0,100,0,0,0,0,15,5,80,"2019-08_Ningaloo_stereo-BRUVs"
"31.06",0.52,0.585946527708232,0,100,0,0,0,0,4,4,92,"2019-08_Ningaloo_stereo-BRUVs"
"4.01",2.27777777777778,1.36362646064933,0,100,0,0,0,0,25,25,50,"2019-08_Ningaloo_stereo-BRUVs"
"4.02",1.80769230769231,1.16684980247608,0,100,0,0,0,0,11.54,23.08,65.38,"2019-08_Ningaloo_stereo-BRUVs"
"4.03",2.59090909090909,1.50108186094122,0,100,0,0,0,0,4.55,36.36,59.09,"2019-08_Ningaloo_stereo-BRUVs"
"4.08",2.17391304347826,1.02921743939238,0,100,0,0,0,0,8.7,39.13,52.17,"2019-08_Ningaloo_stereo-BRUVs"
"4.11",2.39130434782609,0.94094393779393,0,100,0,0,0,8.7,4.35,34.78,52.17,"2019-08_Ningaloo_stereo-BRUVs"
"4.12",1.5,1.10453610171873,0,100,0,0,0,30.77,0,0,69.23,"2019-08_Ningaloo_stereo-BRUVs"
"5.02",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"5.03",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"5.07",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"5.08",0.92,0.276887462097269,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"5.11",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"5.13",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"6.01",0.142857142857143,0.358568582800318,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"6.02",0.96,0.2,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"6.03",2.53333333333333,1.43198279062413,7.5,92.5,0,0,0,0,26.67,23.33,50,"2019-08_Ningaloo_stereo-BRUVs"
"6.04",0.48,0.509901951359279,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"6.05",0.76,0.435889894354067,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"6.12",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"7.01",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"7.02",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"7.03",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"7.04",1,0,0,100,0,0,0,0,3.85,0,96.15,"2019-08_Ningaloo_stereo-BRUVs"
"7.05",1,0,0,100,0,13.04,0,0,0,0,86.96,"2019-08_Ningaloo_stereo-BRUVs"
"7.08",0.95,0.223606797749979,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"8.01",1.07407407407407,0.549540082245419,0,100,0,0,0,0,3.7,7.41,88.89,"2019-08_Ningaloo_stereo-BRUVs"
"8.02",3.89285714285714,1.34272486120949,2.5,97.5,0,0,0,0,53.57,25,21.43,"2019-08_Ningaloo_stereo-BRUVs"
"8.05",0.952380952380952,0.218217890235992,2.5,97.5,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"8.06",1.04545454545455,0.21320071635561,0,100,0,0,0,0,4.55,0,95.45,"2019-08_Ningaloo_stereo-BRUVs"
"8.07",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"8.12",1.6,1.08012344973464,0,100,0,0,0,0,16,12,72,"2019-08_Ningaloo_stereo-BRUVs"
"9.01",2.16,0.943398113205661,0,100,0,0,0,20,8,24,48,"2019-08_Ningaloo_stereo-BRUVs"
"9.02",1.61904761904762,0.740012869900955,0,100,0,0,0,23.81,9.52,0,66.67,"2019-08_Ningaloo_stereo-BRUVs"
"9.05",1.04,0.2,0,100,0,0,0,0,0,4,96,"2019-08_Ningaloo_stereo-BRUVs"
"9.06",2.21739130434783,0.795242772487544,0,100,0,0,0,0,4.35,43.48,52.17,"2019-08_Ningaloo_stereo-BRUVs"
"9.07",2.8,0.763762615825973,0,100,0,0,0,20,20,20,40,"2019-08_Ningaloo_stereo-BRUVs"
"9.08",0.708333333333333,0.550032937090187,0,100,0,0,0,4.17,16.67,0,79.17,"2019-08_Ningaloo_stereo-BRUVs"
